00001033-01_4_full;239,235,234;196,209,217;237,218,204
00007015-10_1_front;106,35,65;60,91,138;216,180,166
00002518-03_1_front;253,253,253;161,166,170;202,156,133
00002131-04_4_full;240,246,244;196,146,109;225,175,150
00001515-06_1_front;1,142,221;230,230,230;214,167,147
00000430-04_4_full;50,48,51;65,88,122;229,198,180
00002858-02_4_full;245,241,238;32,33,38;215,176,147
00003809-01_1_front;54,44,43;48,39,42;238,207,189
00001614-04_4_full;212,210,213;249,246,239;228,195,162
00006821-03_7_additional;228,227,225;24,31,41;157,91,57
00005176-03_1_front;241,241,243;87,126,165;223,184,155
00005913-19_1_front;50,42,39;0,112,88;241,201,176
00001046-02_4_full;241,241,241;29,55,88;214,173,155
00004164-06_4_full;252,238,229;196,206,216;255,199,162
00001175-02_4_full;233,231,236;215,216,218;214,158,135
00007406-08_4_full;243,195,93;235,234,232;206,152,118
00005037-05_1_front;6,113,155;45,44,50;221,179,154
00003449-06_4_full;61,64,73;169,186,202;219,181,158
00000318-01_1_front;244,242,245;145,142,89;215,170,141
00004660-01_4_full;247,247,249;215,215,215;197,176,173
00001561-02_7_additional;244,237,231;225,227,226;231,193,156
00006593-04_4_full;212,215,208;31,65,110;225,190,171
00002608-05_7_additional;229,230,232;136,163,180;185,144,124
00006085-03_4_full;254,220,219;54,44,45;236,198,179
00002162-36_4_full;78,51,58;163,184,211;241,192,152
00006193-02_1_front;37,35,40;36,35,41;224,178,154
00007625-06_1_front;141,131,140;40,40,38;241,220,199
00003142-04_4_full;28,26,27;37,37,37;122,87,68
00005722-07_4_full;53,52,60;55,54,60;224,183,165
00006926-01_7_additional;231,239,242;69,67,72;232,202,174
00006883-01_4_full;226,235,230;218,217,213;200,149,118
00001471-03_4_full;255,91,160;15,11,8;238,222,209
00000126-04_4_full;179,178,183;50,47,54;183,125,101
00001273-05_4_full;203,174,158;63,86,120;190,129,98
00001784-03_4_full;37,35,36;46,50,53;200,146,112
00003621-01_1_front;233,233,233;81,110,142;223,191,170
00006625-05_1_front;242,235,229;165,189,213;235,207,186
00005079-06_4_full;51,47,70;203,189,215;212,152,118
00006197-02_4_full;32,41,72;243,239,236;237,223,212
00001601-02_4_full;51,62,90;137,175,214;252,231,204
00005096-02_7_additional;32,30,35;224,227,232;224,179,146
00002609-02_1_front;99,86,70;37,36,32;244,213,192
00007193-03_4_full;248,248,248;192,201,206;188,130,92
00001795-01_4_full;241,239,240;49,40,41;249,223,206
00005761-06_4_full;54,52,55;249,248,253;226,176,141
00001213-02_4_full;162,150,154;215,238,246;228,189,174
00004640-02_4_full;241,232,225;105,126,147;236,200,168
00003722-02_1_front;229,227,228;172,4,29;217,189,177
00006768-05_7_additional;36,34,37;161,166,172;210,165,134
00006232-01_7_additional;235,235,237;126,157,177;237,220,204
00003687-19_4_full;242,238,255;153,170,200;250,222,200
00002258-04_4_full;246,241,237;43,39,40;243,205,168
00002715-01_4_full;71,69,74;71,50,45;231,194,176
00007597-01_1_front;44,42,43;48,44,43;205,157,121
00004903-02_4_full;3,2,0;24,18,32;211,133,95
00004773-02_4_full;29,27,28;71,96,127;237,204,185
00005085-29_4_full;203,1,27;249,241,230;244,192,153
00007811-07_1_front;167,168,170;45,41,40;204,158,124
00006353-01_7_additional;202,207,211;26,26,24;154,91,56
00006876-02_7_additional;242,242,242;192,204,204;229,197,172
00002952-03_1_front;72,75,54;17,21,24;210,169,149
00005393-03_1_front;252,252,252;155,154,159;231,190,158
00001893-02_4_full;194,220,243;237,237,239;234,202,177
00003699-02_4_full;23,27,28;179,180,184;151,92,60
00001813-07_1_front;239,239,241;54,55,59;221,166,136
00005976-02_1_front;74,65,60;28,27,23;230,189,159
00003466-04_4_full;230,231,226;241,130,119;221,148,116
00006353-01_1_front;213,217,220;24,24,24;212,158,122
00006135-03_1_front;214,207,201;29,28,33;175,129,96
00002015-01_7_additional;83,100,144;35,45,70;227,190,163
00002388-02_7_additional;109,107,110;16,13,8;233,189,162
00001114-01_4_full;247,245,248;199,200,204;235,191,162
00003338-09_1_front;242,119,166;39,57,77;234,208,185
00003435-02_4_full;12,8,5;13,20,28;229,192,165
00002201-15_7_additional;2,195,213;146,160,169;227,175,135
00002338-02_1_front;233,228,224;45,44,58;226,172,136
00006411-01_4_full;35,36,40;33,33,33;222,189,170
00006863-19_4_full;55,54,86;241,240,238;251,213,177
00006627-02_1_front;195,199,210;214,213,209;214,185,171
00004688-07_4_full;135,183,203;228,229,231;212,157,126
00003971-05_7_additional;49,50,54;196,30,50;217,180,153
00001212-13_4_full;249,248,246;155,176,193;241,221,197
00005632-02_1_front;42,42,42;9,9,7;228,196,173
00001548-06_4_full;63,15,13;164,49,62;241,194,148
00007750-01_4_full;23,30,38;220,219,217;189,146,129
00007072-02_1_front;1,153,202;146,160,173;226,182,157
00001502-02_4_full;228,200,189;244,240,237;218,162,135
00002162-12_4_full;248,247,245;165,178,186;239,204,166
00000969-04_4_full;236,235,233;71,70,75;219,169,142
00006507-03_7_additional;231,227,224;15,14,10;215,170,151
00003723-01_7_additional;255,223,214;126,151,173;198,142,109
00002162-64_4_full;213,165,203;195,205,214;252,223,193
00002583-03_7_additional;69,63,39;33,31,32;180,128,88
00006627-03_1_front;242,246,255;139,166,185;216,202,193
00007903-06_1_front;241,241,243;34,33,39;197,155,131
00001249-03_4_full;72,92,179;23,24,29;213,164,134
00001242-04_4_full;242,242,244;150,177,196;217,168,138
00005653-01_1_front;251,250,255;163,173,182;237,219,205
00001053-02_4_full;36,40,52;34,34,34;232,192,167
00007470-02_4_full;212,45,62;247,251,254;248,225,211
00005268-06_4_full;23,18,15;190,179,177;228,172,139
00001778-02_4_full;109,103,107;69,63,65;237,193,168
00002158-02_7_additional;197,210,227;54,47,54;223,190,175
00000775-03_1_front;67,65,70;116,16,24;240,204,178
00003719-05_4_full;36,37,42;239,238,236;218,188,180
00006062-08_4_full;234,207,200;22,22,22;200,148,127
00001038-03_4_full;80,61,106;35,92,205;255,220,188
00002662-02_7_additional;217,226,235;206,209,214;212,164,142
00002220-06_1_front;64,59,65;43,44,64;228,181,151
00001592-05_7_additional;235,234,239;10,13,18;222,207,200
00007022-15_1_front;87,81,85;43,38,44;254,233,216
00007721-30_4_full;127,8,40;31,33,54;235,207,183
00000332-01_4_full;181,180,185;65,99,136;227,191,169
00001026-05_7_additional;43,42,40;21,42,71;236,192,163
00005311-05_7_additional;245,245,245;67,67,69;174,126,104
00007436-01_4_full;236,235,240;30,29,24;203,160,143
00006650-01_4_full;67,64,73;42,40,51;197,157,145
00001792-03_7_additional;203,204,208;19,20,22;203,149,111
00006859-05_7_additional;221,221,219;11,10,8;212,167,138
00007879-04_4_full;217,216,214;71,92,123;212,165,139
00000207-02_1_front;176,140,124;69,64,68;222,177,144
00002481-01_4_full;226,222,213;48,65,81;203,161,137
00006072-03_1_front;246,245,250;156,0,22;240,222,208
00001359-02_4_full;234,230,227;229,230,235;183,128,97
00000875-01_4_full;86,84,85;33,33,31;217,171,155
00007970-01_1_front;227,213,213;30,41,61;230,193,174
00000959-01_4_full;246,245,243;40,43,48;229,201,179
00005573-05_1_front;200,197,192;143,141,142;223,182,152
00007862-03_4_full;85,0,0;8,12,15;234,194,169
00003263-05_4_full;245,243,244;31,55,89;186,130,105
00000652-08_4_full;246,242,233;231,198,183;245,211,183
00007092-01_4_full;195,194,199;139,174,196;224,195,179
00006991-07_4_full;220,190,182;12,16,19;230,189,159
00001446-07_4_full;122,108,82;180,190,199;207,152,122
00005085-04_4_full;235,213,189;158,125,94;241,176,120
00001720-03_1_front;221,219,224;20,19,24;212,175,149
00004707-04_4_full;31,29,32;198,211,217;238,210,189
00002215-03_1_front;74,69,76;33,28,32;243,213,189
00000825-01_1_front;232,232,232;42,40,45;233,193,168
00002256-04_4_full;26,25,31;28,26,29;217,171,145
00001440-02_4_full;242,240,241;66,93,123;247,213,188
00005805-01_4_full;42,42,44;128,127,133;232,208,196
00006863-21_4_full;19,84,112;34,29,26;243,176,134
00001882-02_7_additional;250,250,252;67,102,132;245,212,179
00006926-01_1_front;229,237,240;87,85,96;235,209,182
00000366-02_4_full;24,22,23;37,37,39;215,180,158
00000199-02_1_front;69,67,70;228,227,223;233,202,174
00003745-02_4_full;210,207,214;15,14,10;236,200,178
00004417-01_4_full;241,240,236;36,34,37;201,155,121
00007710-01_1_front;244,242,247;23,23,23;236,211,191
00001210-03_7_additional;238,239,241;180,197,204;226,189,160
00003312-02_7_additional;245,241,238;46,45,53;236,199,172
00001115-01_1_front;249,245,242;40,34,36;236,186,149
00006778-03_1_front;230,228,229;44,44,46;224,182,157
00001925-30_7_additional;103,98,105;28,35,53;225,185,159
00005951-02_1_front;203,195,193;83,32,37;219,176,159
00003299-01_7_additional;30,26,25;34,34,34;158,94,66
00001283-01_7_additional;235,233,238;14,14,12;221,183,164
00003389-01_7_additional;18,18,18;132,132,134;227,190,164
00003809-01_4_full;48,39,40;41,35,35;234,198,182
00000682-03_1_front;239,237,238;165,188,202;232,196,172
00006312-07_1_front;34,37,56;177,189,201;225,186,169
00007982-11_1_front;17,87,112;31,29,32;202,140,103
00003820-02_4_full;240,218,207;237,236,234;234,197,181
00006003-01_1_front;234,234,234;235,235,235;177,127,102
00002121-32_1_front;247,245,206;15,22,32;245,227,213
00005815-05_4_full;39,35,36;61,87,124;239,195,168
00004374-02_4_full;153,158,164;190,202,202;239,206,175
00003019-01_7_additional;23,27,28;237,236,242;233,206,185
00000833-02_1_front;37,36,42;110,136,171;219,179,153
00005263-05_4_full;246,246,248;19,14,18;220,160,132
00006919-02_4_full;137,132,136;37,36,32;224,183,165
00002801-02_1_front;133,129,128;182,192,201;231,181,148
00002717-01_1_front;231,226,222;221,220,216;227,181,155
00000907-06_4_full;249,248,246;40,35,39;231,165,131
00003303-02_7_additional;217,126,73;231,226,232;236,201,179
00003523-21_1_front;69,66,73;29,28,33;224,178,152
00006000-01_1_front;212,176,150;38,39,43;211,167,142
00003352-03_4_full;34,48,93;238,238,238;204,148,111
00004839-03_4_full;241,239,227;212,222,224;236,217,200
00000152-03_1_front;241,238,233;14,15,10;239,220,206
00000550-03_1_front;248,248,248;34,33,38;218,162,125
00000471-01_4_full;34,34,36;40,36,37;224,183,153
00002966-01_7_additional;207,205,210;27,25,26;222,187,159
00007792-05_1_front;238,234,233;206,188,174;216,171,142
00000214-01_4_full;41,37,28;47,43,32;239,208,187
00000373-04_4_full;30,27,22;39,32,24;217,171,147
00004060-02_4_full;212,175,157;50,46,47;211,170,152
00001103-01_1_front;212,202,200;34,34,32;215,165,138
00003033-01_1_front;244,243,241;29,67,116;210,174,158
00006330-02_7_additional;229,137,178;29,8,13;222,178,139
00003279-01_1_front;172,176,177;39,43,44;215,163,126
00001195-02_4_full;110,117,125;144,137,131;232,212,205
00000181-03_7_additional;25,25,25;30,45,68;232,199,180
00001169-01_7_additional;153,150,167;33,36,53;219,186,167
00002107-01_1_front;234,233,229;149,183,208;223,177,153
00002880-01_7_additional;48,44,43;249,249,251;234,197,170
00006012-02_7_additional;204,218,227;166,184,198;242,210,187
00006953-03_4_full;34,32,35;95,128,161;223,186,159
00000344-07_4_full;64,57,51;1,113,150;218,149,118
00004033-01_4_full;36,33,40;235,232,227;227,189,170
00002038-12_1_front;255,255,253;179,104,21;252,230,209
00003687-17_4_full;134,227,209;11,2,3;255,204,173
00000288-02_1_front;120,9,28;20,25,28;226,188,165
00002075-04_4_full;31,27,28;39,33,37;214,150,112
00000599-02_7_additional;40,36,35;38,36,37;246,216,182
00000380-04_4_full;218,146,48;27,35,54;245,223,202
00006425-03_4_full;217,163,75;225,228,233;206,146,112
00003973-06_4_full;234,230,227;25,24,19;219,174,145
00000874-02_4_full;28,29,34;146,163,179;215,178,159
00007402-04_4_full;234,229,226;193,209,222;213,163,136
00002678-39_4_full;125,123,85;35,62,83;233,205,183
00005662-01_7_additional;195,222,231;130,158,195;193,133,105
00002553-03_4_full;54,51,58;31,29,34;203,159,132
00006879-03_7_additional;221,222,226;235,233,234;237,200,174
00005066-03_4_full;64,62,67;238,238,240;218,167,138
00002773-02_4_full;255,254,255;221,230,239;237,191,157
00001515-06_7_additional;0,129,210;226,226,226;186,126,102
00000550-01_1_front;250,87,104;43,37,41;198,138,102
00000751-02_7_additional;247,242,238;208,211,216;243,207,181
00001310-01_7_additional;64,51,60;249,249,251;236,201,179
00007158-01_1_front;56,61,83;199,217,229;230,193,164
00002089-21_1_front;244,165,171;12,11,17;228,198,174
00002331-03_1_front;243,238,235;43,48,78;228,200,186
00003398-03_4_full;242,240,241;190,189,185;237,205,184
00003446-04_4_full;138,32,42;254,254,254;245,218,191
00007664-10_4_full;238,234,231;23,25,38;220,177,143
00004418-03_4_full;193,26,44;31,30,36;234,205,189
00002162-62_4_full;206,8,43;175,185,194;239,203,167
00007196-03_4_full;239,248,247;144,175,195;232,192,166
00000703-01_4_full;244,241,236;31,26,23;245,204,158
00000573-08_7_additional;124,123,129;57,52,58;209,152,122
00006743-01_4_full;246,244,245;44,40,41;233,174,134
00007971-01_1_front;240,238,239;38,38,38;225,186,169
00006900-03_4_full;249,249,249;36,27,28;182,141,123
00006982-08_4_full;43,47,84;69,66,73;222,193,179
00002311-01_1_front;142,176,211;3,3,3;241,224,208
00002616-06_4_full;45,69,131;255,254,255;236,188,150
00000136-01_4_full;241,239,240;35,35,35;235,214,197
00005105-02_4_full;156,129,136;25,22,15;219,174,145
00004434-04_4_full;58,56,70;56,51,57;216,170,155
00000679-08_1_front;45,41,40;28,24,15;226,180,146
00002915-02_7_additional;196,196,198;35,31,30;223,189,164
00003227-01_7_additional;34,38,41;198,196,199;231,196,176
00004016-01_4_full;232,231,237;16,16,14;217,176,148
00002873-02_1_front;172,17,31;44,56,82;229,193,171
00005478-03_4_full;202,225,255;204,212,215;235,206,190
00006289-02_1_front;234,229,223;18,30,46;231,201,177
00000683-01_7_additional;40,38,51;33,36,43;236,206,180
00002971-01_1_front;208,206,207;156,168,180;245,235,226
00005316-08_1_front;171,37,38;53,48,52;226,184,160
00005683-03_4_full;55,55,57;55,89,126;236,196,170
00000179-01_1_front;34,36,49;190,212,226;235,208,191
00004597-02_4_full;42,37,34;189,185,184;243,200,166
00007191-07_1_front;194,211,219;164,191,208;220,182,161
00000195-01_4_full;40,39,37;205,216,222;185,130,99
00005369-07_1_front;252,222,214;249,249,249;234,193,165
00000149-06_4_full;228,224,223;69,16,22;227,182,163
00001233-03_4_full;31,53,129;247,246,244;239,202,183
00005859-02_4_full;243,243,241;148,152,155;236,209,190
00002360-01_7_additional;231,210,157;45,64,96;226,185,167
00003501-03_7_additional;236,234,235;214,157,128;238,224,215
00000853-02_4_full;172,130,82;32,28,29;238,193,154
00006256-03_7_additional;36,36,44;237,238,243;203,148,118
00001627-10_4_full;201,200,206;74,108,154;228,183,164
00005085-06_4_full;248,239,224;163,128,96;241,180,123
00006268-01_1_front;36,35,41;200,201,205;227,189,168
00005343-07_4_full;234,224,214;8,4,3;234,206,185
00006032-05_4_full;53,43,44;185,201,226;239,180,150
00003295-03_7_additional;62,61,67;156,177,196;233,189,162
00003305-12_1_front;242,241,246;247,243,208;216,167,137
00000010-02_7_additional;236,240,239;27,28,32;231,199,174
00001206-01_7_additional;240,239,237;20,37,55;89,46,27
00001693-01_1_front;61,64,69;138,155,162;236,211,189
00003257-06_1_front;225,225,225;210,139,25;210,165,132
00006537-02_7_additional;45,44,76;239,243,242;233,189,160
00006045-03_4_full;191,181,179;70,65,71;212,166,151
00003885-07_4_full;240,241,245;235,238,243;236,223,207
00002314-01_4_full;239,237,242;208,221,229;186,122,87
00003935-04_4_full;27,25,28;200,202,201;216,170,137
00002800-01_4_full;240,238,239;162,195,214;231,185,159
00002891-01_1_front;219,216,223;19,19,17;214,180,155
00007691-01_7_additional;239,237,240;23,23,25;201,142,124
00006608-03_1_front;231,229,230;26,48,71;122,70,46
00007230-01_7_additional;34,33,29;209,210,214;231,191,166
00001533-01_1_front;21,32,54;75,85,95;228,215,206
00002162-61_4_full;212,167,14;181,199,211;241,199,161
00002952-01_1_front;35,34,39;18,22,25;230,197,178
00005552-04_4_full;119,114,144;50,46,47;221,182,165
00003523-16_1_front;191,191,193;232,233,235;228,176,137
00002213-02_1_front;23,23,21;24,23,18;233,202,173
00002279-04_4_full;58,58,66;254,235,229;251,212,169
00005620-04_4_full;230,231,236;176,194,206;245,228,212
00006238-01_1_front;241,241,243;40,69,109;231,194,175
00003258-03_1_front;75,63,73;31,30,26;230,193,167
00001212-24_4_full;255,56,103;244,243,248;244,193,148
00003687-16_4_full;250,244,244;11,2,3;254,203,172
00004243-03_4_full;233,236,245;38,33,37;235,198,182
00005479-09_4_full;227,210,202;229,230,234;217,176,158
00003638-01_1_front;244,240,239;49,48,46;234,201,182
00006566-07_1_front;37,37,39;137,39,52;239,217,194
00005253-06_7_additional;105,34,42;39,36,43;195,145,110
00003308-02_1_front;200,201,203;30,29,34;207,158,126
00004593-14_4_full;197,38,122;32,31,36;201,142,108
00006181-01_4_full;71,74,57;44,36,34;175,121,93
00000371-09_7_additional;245,172,166;173,199,214;231,200,182
00001517-01_7_additional;233,233,233;127,65,70;238,207,187
00003972-01_4_full;239,248,247;33,29,28;225,188,159
00007708-01_4_full;34,37,42;126,169,203;223,192,171
00007041-01_4_full;138,176,212;231,231,233;232,187,158
00005212-02_1_front;130,85,62;35,34,30;226,183,151
00006581-12_4_full;232,82,81;29,28,33;228,192,156
00001262-07_1_front;190,192,204;33,35,48;221,182,165
00002957-01_7_additional;52,49,58;194,199,203;229,170,138
00007866-02_7_additional;238,235,242;66,105,146;236,205,187
00002324-01_4_full;231,228,219;11,15,14;218,172,149
00002089-22_1_front;106,100,112;14,20,32;235,222,206
00003472-03_4_full;240,240,240;10,11,13;235,213,189
00005709-01_4_full;153,62,67;138,139,141;219,175,138
00007567-01_4_full;240,240,242;13,21,32;235,204,176
00007863-07_7_additional;150,155,161;236,236,236;213,157,130
00003208-10_1_front;36,34,39;168,168,168;242,207,169
00006645-04_4_full;79,29,41;34,29,33;212,170,154
00002201-22_7_additional;168,163,167;173,186,195;229,191,170
00005593-02_4_full;229,229,229;57,55,58;252,228,204
00005072-03_7_additional;241,240,238;25,45,78;218,180,157
00004837-01_4_full;163,197,222;235,235,237;200,148,124
00003920-01_7_additional;44,39,36;118,79,64;146,89,70
00004688-04_4_full;41,37,36;226,228,227;215,166,136
00000187-07_7_additional;41,42,47;37,38,43;222,181,161
00003918-02_1_front;214,212,213;23,22,18;220,182,159
00007721-46_4_full;189,70,186;190,199,204;240,205,175
00003030-02_1_front;246,244,247;41,36,42;227,198,182
00006529-03_1_front;240,238,241;102,99,108;207,157,134
00006127-02_1_front;34,35,40;32,32,32;217,172,151
00002008-06_4_full;255,255,253;206,217,223;253,223,199
00001840-03_4_full;236,236,238;29,24,21;242,197,155
00007744-07_4_full;38,41,60;25,47,70;233,207,192
00000808-03_4_full;250,247,240;35,31,30;245,188,135
00002595-01_4_full;243,242,240;29,24,18;227,192,172
00001646-02_4_full;38,33,37;227,232,236;222,178,153
00004415-01_4_full;222,208,199;246,247,251;236,176,126
00001769-03_7_additional;233,232,237;26,27,32;191,142,112
00003919-05_1_front;24,24,24;71,62,29;237,201,175
00002272-06_4_full;240,236,237;204,213,222;225,184,164
00000452-02_4_full;231,44,53;57,60,65;229,202,181
00005121-01_1_front;221,212,203;15,23,34;239,204,176
00005706-03_7_additional;83,32,37;68,87,129;228,191,175
00006962-02_4_full;34,35,39;247,247,247;233,211,197
00006522-02_7_additional;217,217,215;60,61,63;228,183,154
00005099-06_7_additional;89,85,84;18,16,17;170,110,73
00000336-02_7_additional;225,190,171;16,32,48;134,78,51
00006958-02_7_additional;233,231,232;237,237,239;133,83,58
00005085-34_4_full;249,237,185;11,26,59;243,180,136
00003515-02_1_front;35,39,66;23,26,41;225,181,152
00003919-01_7_additional;28,28,28;235,233,238;236,201,173
00007221-13_1_front;54,93,168;40,39,45;206,149,120
00006754-01_4_full;222,221,226;55,69,104;209,167,151
00006004-05_4_full;34,32,35;65,51,48;225,178,158
00000230-01_4_full;194,139,85;78,69,64;234,170,132
00001017-02_1_front;237,233,232;48,44,45;220,173,147
00007000-02_1_front;235,233,236;230,229,227;219,170,138
00001339-02_4_full;238,239,241;61,55,59;240,181,149
00006920-02_7_additional;238,242,243;135,153,165;236,201,173
00006901-07_1_front;205,195,206;145,171,198;212,166,140
00001013-03_1_front;239,239,241;33,37,46;230,195,175
00005163-02_4_full;238,228,219;243,244,248;237,193,158
00001735-03_4_full;47,46,44;37,34,29;226,196,170
00003188-06_1_front;212,219,237;30,30,30;223,183,158
00000060-05_4_full;42,40,41;187,204,214;231,175,138
00007623-01_1_front;53,52,57;145,163,175;224,192,171
00000509-03_1_front;55,56,77;155,154,160;198,156,132
00006616-03_4_full;121,114,121;90,108,144;242,193,152
00007666-03_4_full;237,233,230;36,56,80;203,150,118
00005258-04_4_full;181,55,56;192,195,210;165,91,66
00003373-02_1_front;195,195,197;28,29,31;205,160,127
00000748-01_4_full;234,234,234;221,226,232;169,108,79
00004090-02_4_full;212,221,228;123,149,174;218,172,149
00006013-01_1_front;238,243,246;32,44,96;225,181,146
00004111-05_4_full;36,34,35;245,243,246;234,198,172
00003523-12_4_full;250,238,226;51,64,98;235,187,151
00002259-05_4_full;117,115,120;247,246,252;221,172,132
00007956-01_1_front;229,228,226;183,206,220;223,187,161
00005364-05_4_full;33,32,30;32,32,34;201,155,121
00005412-03_4_full;54,65,95;177,195,209;238,209,191
00007816-01_1_front;243,241,242;15,15,13;185,137,114
00002385-03_7_additional;116,53,38;145,45,55;231,199,176
00002599-01_1_front;1,0,0;1,1,1;236,203,184
00006130-01_7_additional;244,244,246;82,116,151;236,214,201
00005366-02_4_full;146,76,66;30,41,61;212,163,131
00003190-06_1_front;240,240,238;145,43,57;203,159,132
00004604-04_4_full;37,34,45;241,241,243;236,206,196
00000371-08_1_front;99,98,104;170,196,213;226,188,167
00005206-07_4_full;251,247,236;231,203,104;247,197,164
00003374-02_4_full;233,201,188;47,45,50;174,116,96
00002489-02_4_full;249,249,251;50,50,62;233,190,156
00002771-04_4_full;247,246,244;43,33,31;221,167,123
00003387-02_4_full;250,248,249;28,25,20;229,202,191
00003767-05_4_full;242,240,241;223,221,222;205,147,123
00002607-04_4_full;250,250,250;38,36,37;220,160,132
00002201-30_7_additional;3,65,140;79,119,144;242,225,209
00000888-07_7_additional;212,225,242;69,101,140;229,192,174
00000679-07_4_full;219,217,220;31,30,26;170,109,80
00003338-05_1_front;110,95,64;153,181,202;239,209,185
00000033-02_1_front;195,187,185;212,221,230;232,204,182
00002423-03_4_full;135,126,131;41,38,45;233,197,173
00005131-01_1_front;33,34,54;221,230,239;237,202,183
00004802-02_4_full;202,198,195;229,227,230;240,204,182
00006536-01_4_full;241,241,241;47,80,131;228,202,189
00005311-05_1_front;243,245,244;65,66,70;230,187,145
00005735-06_7_additional;245,243,244;21,21,21;241,207,180
00005045-02_4_full;108,104,101;85,106,149;243,198,169
00002569-01_4_full;185,184,182;75,16,22;227,190,171
00002585-03_7_additional;242,233,234;50,49,57;225,181,156
00005837-05_1_front;38,29,20;241,241,241;241,209,188
00005956-02_4_full;227,214,197;42,41,46;222,164,127
00002112-06_7_additional;52,59,105;163,176,184;240,210,186
00004356-03_4_full;246,244,245;194,201,207;229,181,158
00001083-01_7_additional;236,232,231;176,183,191;192,154,141
00005150-06_1_front;196,177,171;173,39,48;226,180,154
00000843-04_4_full;240,230,228;175,186,206;246,182,144
00006215-04_4_full;30,30,30;2,126,186;217,180,161
00004518-01_4_full;47,50,57;206,210,219;237,221,208
00000158-03_4_full;248,246,247;45,65,89;242,212,184
00003857-02_1_front;46,46,48;143,160,170;209,181,160
00000044-01_4_full;83,33,42;197,196,201;200,154,130
00007359-05_1_front;52,50,63;29,36,55;220,174,151
00006643-02_4_full;238,229,220;62,81,98;204,167,149
00003405-05_4_full;244,242,243;15,18,23;242,208,183
00003505-02_7_additional;27,27,25;156,181,201;231,196,176
00003628-01_7_additional;255,122,93;43,62,92;238,214,190
00007107-07_1_front;81,80,60;34,33,31;240,221,207
00003343-17_4_full;175,193,203;239,240,244;227,189,166
00004965-04_4_full;23,18,24;248,248,248;252,216,192
00003223-01_4_full;44,41,48;240,239,237;225,194,176
00007773-04_4_full;230,219,191;171,194,208;214,162,125
00001910-01_1_front;236,240,239;45,44,49;237,215,192
00002118-03_1_front;45,128,162;44,119,151;229,184,153
00007682-07_1_front;240,236,237;133,121,97;235,196,167
00005469-01_4_full;39,39,51;44,51,69;232,188,163
00003699-02_7_additional;11,15,14;212,211,216;238,206,183
00001545-01_4_full;225,224,230;13,13,11;224,196,175
00007412-01_4_full;248,245,240;21,13,11;233,183,146
00007619-03_1_front;24,24,22;14,47,90;239,226,218
00007558-07_4_full;33,32,37;19,35,60;229,197,182
00000521-02_1_front;252,252,250;167,177,186;234,165,110
00004547-02_4_full;225,222,217;200,217,225;209,161,138
00004327-02_4_full;228,226,227;225,224,222;209,172,146
00007082-05_1_front;243,242,240;143,170,187;215,164,133
00004745-04_4_full;82,33,37;59,56,63;230,192,173
00003871-01_1_front;44,35,36;255,255,255;255,213,188
00006552-02_1_front;125,115,80;147,175,196;181,147,137
00000856-01_7_additional;26,25,23;22,21,17;247,230,210
00000258-06_1_front;248,234,233;83,110,139;234,202,181
00002585-02_4_full;37,37,49;37,35,36;224,189,169
00007533-01_4_full;110,37,48;128,145,161;238,203,181
00002612-02_7_additional;48,41,49;34,34,42;204,162,138
00004083-04_4_full;220,75,144;173,182,189;234,197,171
00002215-02_7_additional;33,27,27;36,30,30;162,109,95
00006808-02_7_additional;43,44,48;97,68,60;220,173,143
00003094-01_4_full;139,127,131;20,32,54;207,151,126
00003405-08_4_full;194,232,233;237,233,232;202,145,116
00002339-02_4_full;86,86,86;41,39,40;215,174,154
00001625-06_4_full;251,251,251;255,70,71;225,162,119
00004784-05_4_full;82,75,57;246,247,190;194,133,105
00002491-01_4_full;227,50,58;61,62,64;218,177,159
00002176-06_1_front;14,106,129;18,105,125;238,218,193
00007295-01_1_front;239,236,231;5,6,8;213,166,124
00002162-59_4_full;176,49,166;199,213,222;244,206,169
00007807-05_1_front;241,229,215;44,40,41;138,95,79
00005570-03_1_front;160,161,166;35,36,38;221,177,142
00005090-01_1_front;25,27,26;100,132,171;213,179,154
00005315-02_1_front;242,239,230;19,18,14;239,221,207
00000099-07_1_front;241,240,238;28,31,38;225,186,171
00007779-05_1_front;33,32,30;237,236,234;200,136,101
00001113-04_4_full;199,180,166;143,169,192;243,211,188
00002422-08_4_full;80,126,159;93,117,155;222,185,158
00000895-02_7_additional;242,163,150;44,120,170;225,194,173
00003313-02_4_full;242,243,245;53,51,54;227,191,165
00007962-08_7_additional;255,216,209;53,87,125;239,205,180
00006101-02_1_front;203,202,207;221,231,240;250,232,218
00001159-02_7_additional;220,223,228;60,57,40;212,166,140
00000153-02_4_full;240,244,245;26,26,28;203,163,137
00000264-02_4_full;242,242,242;35,33,34;198,151,125
00001625-06_1_front;251,251,251;251,65,66;229,166,123
00000808-04_4_full;208,232,96;31,27,26;239,187,130
00004481-03_4_full;33,31,36;77,41,45;221,171,148
00002927-08_1_front;130,120,93;31,30,25;228,191,165
00005856-03_4_full;237,233,221;235,238,243;216,162,134
00000686-03_1_front;248,248,248;61,57,56;239,217,203
00005085-09_4_full;255,227,213;146,113,82;209,142,90
00005085-20_4_full;239,220,222;148,115,84;240,183,130
00005148-07_4_full;93,92,98;208,225,233;213,159,123
00006285-02_4_full;83,70,80;232,231,229;174,108,74
00006729-04_4_full;159,158,164;225,247,245;233,189,154
00000235-04_4_full;176,162,179;227,226,231;240,209,188
